"Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,     "rms[k]"     ,     "rms[w]"     
         282,      -2.851502183,      0.3297358015,      -4.213442137,      0.2459480657
         283,      -2.735472621,      0.3644407029,      -4.199188158,      0.2602020322
         284,      -2.719696403,      0.3555181066,      -4.204757689,      0.2546325755
         285,      -2.729890066,      0.3549485626,      -4.184046376,      0.2753439011
         286,      -2.708958467,      0.3389926999,      -4.164715637,      0.2946745993
         287,      -2.714954093,      0.3242721684,      -4.125582006,      0.3338082811
         288,      -2.737398482,      0.2409966031,      -4.175889016,      0.2835012118
         289,      -2.886592692,      0.1726089263,      -4.229521194,      0.2298689738
         290,      -2.868044041,      0.2441569404,      -4.191573036,      0.2678172551
         291,      -2.825073141,       0.295646457,      -4.226308096,      0.2330821821
         292,      -2.770494339,      0.3089226735,      -4.231088692,      0.2283015492
         293,      -2.761798133,      0.3268704262,      -4.252391416,      0.2069987573
         294,      -2.740004936,      0.3741764286,      -4.215927155,      0.2434629781
         295,      -2.712264076,      0.3474408265,      -4.145365012,      0.3140252672
         296,      -2.718607421,       0.323642658,      -4.103725901,      0.3556644257
         297,      -2.726037971,      0.2892501499,      -4.107630983,      0.3517592899
         298,      -2.784128432,      0.2918082681,      -4.210518924,      0.2488713502
         299,      -2.766298226,      0.3468093367,      -4.225067011,      0.2343231883
         300,      -2.733786327,      0.3451872244,      -4.224842837,      0.2345472777
         301,      -2.737980496,      0.3460582585,      -4.226161614,      0.2332285951
         302,      -2.731602344,       0.342553171,      -4.232229237,       0.227160952
         303,      -2.746567169,      0.3353399421,      -4.235082074,      0.2243079867
         304,      -2.747456613,        0.33277532,      -4.202354902,      0.2570352798
         305,      -2.744645483,      0.3139688895,      -4.155088509,      0.3043017185
         306,      -2.799362795,      0.2316498315,      -4.188618383,      0.2707719045
         307,      -2.952325106,      0.2316645038,      -4.233527411,      0.2258627035
         308,      -2.837582701,      0.3216233105,      -4.185501007,      0.2738892465
         309,      -2.726632443,       0.345366501,      -4.220845239,      0.2385450621
         310,      -2.739268851,      0.3338790465,      -4.201866186,      0.2575242064
         311,      -2.750714451,      0.3120853858,      -4.182504113,      0.2768862346
         312,       -2.81829731,      0.2529861587,       -4.23773497,      0.2216552623
         313,      -2.970637695,      0.2496835567,       -4.29519807,      0.1641920214
